location,total_cases,total_deaths,people_fully_vaccinated,vaccinated_percentage,population
Afghanistan,235214.0,7998.0,18370386.0,44.66553487179243,41128772
Albania,335047.0,3605.0,1279333.0,45.01019942173959,2842318
Algeria,272139.0,6881.0,6481186.0,14.433675013297483,44903228
American Samoa,8359.0,34.0,,,44295
Andorra,48015.0,159.0,53501.0,67.0077527147026,79843
Angola,107481.0,1937.0,9609080.0,27.000143527510584,35588996
Anguilla,3904.0,12.0,10380.0,65.37759022485356,15877
Antigua and Barbuda,9106.0,146.0,62384.0,66.5273215885339,93772
Argentina,10101218.0,130663.0,34900613.0,76.68724353621388,45510324
Armenia,452273.0,8777.0,1030758.0,37.07133177388587,2780472
Aruba,44224.0,292.0,84368.0,79.24928845846757,106459
Australia,11861161.0,25236.0,21647523.0,82.69543472788179,26177410
Austria,6082444.0,22534.0,6683263.0,74.76005963119002,8939617
Azerbaijan,835757.0,10353.0,4862494.0,46.94397937532426,10358078
Bahamas,39127.0,849.0,166972.0,40.7259706967748,409989
Bahrain,696614.0,1536.0,1226796.0,83.32870319113024,1472237
Bangladesh,2051348.0,29499.0,142201684.0,83.06834572248182,171186368
Barbados,108582.0,593.0,155047.0,55.05031138379384,281646
Belarus,994037.0,7118.0,6414996.0,67.27871633597469,9534956
Belgium,4872829.0,34339.0,9170945.0,78.68055579982813,11655923
Belize,71414.0,688.0,221402.0,54.628718062597926,405285
Benin,28036.0,163.0,2742837.0,20.541188766694543,13352864
Bermuda,18860.0,165.0,47657.0,74.2239942685377,64207
Bhutan,62697.0,21.0,677669.0,86.60782637256744,782457
Bolivia,1212147.0,22387.0,6160585.0,50.39698582653925,12224114
Bonaire Sint Eustatius and Saba,11922.0,41.0,16736.0,61.86603578293657,27052
Bosnia and Herzegovina,403666.0,16392.0,846080.0,26.16583115047641,3233530
Botswana,330696.0,2801.0,1663490.0,63.243356271147775,2630300
Brazil,37511921.0,702116.0,176164186.0,81.81752780355104,215313504
British Virgin Islands,7557.0,64.0,18261.0,58.282267330524704,31332
Brunei,347723.0,179.0,446714.0,99.4904254324034,449002
Bulgaria,1329988.0,38700.0,2078006.0,30.64022099822249,6781955
Burkina Faso,22139.0,400.0,5232347.0,23.076658114638576,22673764
Burundi,54569.0,15.0,36321.0,0.2817856869380491,12889583
Cambodia,139319.0,3056.0,14693274.0,87.62765127147182,16767851
Cameroon,125246.0,1974.0,3197286.0,11.453836498553336,27914542
Canada,4819055.0,55282.0,31758251.0,82.58693533794167,38454328
Cape Verde,64474.0,417.0,308720.0,52.04648982908547,593162
Cayman Islands,31472.0,37.0,60696.0,88.32106166875236,68722
Central African Republic,15441.0,113.0,2484985.0,44.54058218208228,5579148
Chad,7702.0,194.0,5020360.0,28.326308310771715,17723312
Chile,5401126.0,64482.0,17700117.0,90.2895091017345,19603736
China,99373219.0,122304.0,1276760000.0,89.54143474558887,1425887360
Colombia,6391876.0,142727.0,37204128.0,71.72014480926757,51874028
Comoros,9109.0,160.0,397080.0,47.45316288691333,836783
Congo,25227.0,389.0,654119.0,10.955978045132428,5970430
Cook Islands,7345.0,2.0,14728.0,86.4725223109441,17032
Costa Rica,1234701.0,9372.0,4369784.0,84.34515201793687,5180836
Cote d'Ivoire,88434.0,835.0,12164304.0,43.19626166365797,28160548
Croatia,1317144.0,18752.0,2251809.0,55.8711490112176,4030361
Cuba,1113662.0,8530.0,10053658.0,89.66714644175924,11212198
Curacao,45883.0,305.0,100885.0,52.77157339164004,191173
Cyprus,696410.0,1451.0,646142.0,72.11349911328819,896007
Czechia,4761919.0,43509.0,6895763.0,65.71154537025478,10493990
Democratic Republic of Congo,101009.0,1474.0,14399520.0,14.543468928499257,99010216
Denmark,3435679.0,9693.0,4712002.0,80.10531328185311,5882259
