location,total_cases,total_deaths,people_fully_vaccinated,vaccinated_percentage,population
Gibraltar,20550.0,113.0,41465.0,100.0,32677
Pitcairn,4.0,0.0,47.0,100.0,47
Qatar,514524.0,690.0,2852178.0,100.0,2695131
Tokelau,80.0,0.0,2203.0,100.0,1893
United Arab Emirates,1067030.0,2349.0,9792266.0,100.0,9441138
Brunei,347723.0,179.0,446714.0,99.4904254324034,449002
Macao,,,642266.0,92.38844615782963,695180
Hong Kong,,,6803327.0,90.84592681158676,7488863
Singapore,3006155.0,2024.0,5120969.0,90.8452902968979,5637022
Chile,5401126.0,64482.0,17700117.0,90.2895091017345,19603736
