continent,date,avg_total_cases,avg_total_deaths
Asia,2020-09-28,224332.085106383,3976.7021276595747
Asia,2020-10-12,259195.40425531915,4484.31914893617
Asia,2020-12-13,401865.5106382979,6606.744680851064
Asia,2024-03-16,6412284.234042553,34823.55319148936
Asia,2024-04-12,6412731.042553191,34827.1914893617
Europe,2020-05-27,32668.254901960783,3399.372549019608
Europe,2020-09-08,72718.37254901961,4262.882352941177
Europe,2020-09-16,78707.62745098039,4320.294117647059
Europe,2020-09-17,78707.62745098039,4320.294117647059
Europe,2020-10-11,116976.76470588235,4704.901960784314
Europe,2020-10-21,136174.98039215687,4876.568627450981
Europe,2020-10-22,136174.98039215687,4876.568627450981
Europe,2021-03-05,651477.5576923077,16499.46153846154
Europe,2021-07-06,928418.4807692308,21962.69230769231
Europe,2023-01-12,4769752.803921568,39598.549019607846
Europe,2024-01-22,4942453.039215687,41128.21568627451
Africa,2020-03-01,0.05263157894736842,0.0
Africa,2020-11-24,36360.73684210526,876.2631578947369
Africa,2021-03-25,72677.26315789473,1932.5087719298247
Africa,2021-04-27,79811.22807017544,2110.2982456140353
Africa,2021-07-12,104929.40350877192,2665.157894736842
Africa,2022-07-13,220867.61403508772,4497.228070175439
Africa,2023-09-22,230018.42105263157,4544.210526315789
Africa,2023-11-21,230146.94736842104,4544.736842105263
Africa,2024-05-26,230583.9649122807,4545.666666666667
Oceania,2020-08-05,795.5833333333334,12.541666666666666
Oceania,2022-05-02,295266.875,487.4166666666667
Oceania,2022-12-24,545289.3333333334,961.6666666666666
Oceania,2023-02-16,568084.3333333334,1083.625
Oceania,2024-06-20,623890.1666666666,1363.2083333333333
North America,2020-01-31,0.1951219512195122,0.0
North America,2020-09-11,184255.9512195122,7317.048780487805
North America,2020-11-29,381614.0975609756,10416.09756097561
North America,2021-02-09,752889.1463414634,17397.853658536584
North America,2021-12-15,1453720.8780487804,29143.463414634145
North America,2022-02-21,2259992.975609756,33380.65853658537
North America,2022-11-23,2845577.6829268294,37335.19512195122
North America,2022-12-15,2875985.951219512,37549.60975609756
North America,2024-02-06,3035371.5853658537,40313.87804878049
North America,2024-04-14,3035849.0975609757,40582.34146341463
North America,2024-07-09,3036271.8536585364,40703.14634146341
South America,2021-04-04,1539719.2857142857,47165.142857142855
South America,2021-05-03,1789338.4285714286,56432.78571428572
South America,2022-05-19,4082372.285714286,92600.35714285714
South America,2022-06-24,4199945.214285715,93004.85714285714
South America,2023-09-05,4897987.0,96594.14285714286
South America,2024-03-24,4913515.071428572,96710.78571428571
Asia,2020-01-12,0.9574468085106383,0.02127659574468085
Asia,2022-05-30,3160820.6041666665,29867.625
Asia,2022-09-22,3784630.3541666665,30801.208333333332
Asia,2022-10-13,3848465.1458333335,30931.291666666668
Asia,2022-12-17,4083604.3958333335,31367.0
Asia,2023-06-06,6199834.25,33973.6875
Asia,2023-07-31,6227245.375,34003.958333333336
Asia,2024-01-03,6407689.617021277,34807.04255319149
Asia,2024-05-09,6413143.70212766,34829.574468085106
Europe,2020-02-26,4.0,0.29411764705882354
Europe,2020-05-17,30259.901960784315,3264.3529411764707
Europe,2020-09-20,85803.19607843137,4396.0
Europe,2021-02-18,615920.5,15649.75
Europe,2021-11-05,1242554.4807692308,25793.846153846152
Europe,2021-12-16,1506552.826923077,28979.96153846154
Europe,2022-12-08,4684286.882352941,39072.94117647059
Europe,2023-09-03,4887211.098039215,40734.76470588235
Europe,2023-10-15,4899622.647058823,40826.94117647059
Europe,2024-01-09,4939501.803921568,41092.549019607846
Europe,2024-05-16,4952472.039215687,41189.56862745098
Africa,2020-01-25,0.0,0.0
Africa,2021-03-24,72677.26315789473,1932.5087719298247
Africa,2022-01-15,180091.75438596492,4067.7368421052633
Africa,2023-07-15,229898.9298245614,4543.736842105263
Africa,2023-09-18,230018.42105263157,4544.210526315789
Africa,2023-10-08,230069.70175438595,4544.456140350877
Africa,2024-07-30,230620.0701754386,4545.912280701755
Oceania,2020-01-07,0.0,0.0
Oceania,2020-01-31,0.16666666666666666,0.0
Oceania,2021-01-21,2359.3333333333335,50.541666666666664
Oceania,2021-02-13,2400.125,50.958333333333336
Oceania,2021-04-04,2732.3333333333335,51.75
Oceania,2021-10-12,11781.416666666666,146.45833333333334
Oceania,2021-12-13,17206.333333333332,199.16666666666666
Oceania,2022-03-11,156207.66666666666,382.7916666666667
Oceania,2022-10-20,509228.875,887.2083333333334
Oceania,2023-01-21,562359.1666666666,1023.2083333333334
Oceania,2023-02-07,567033.5833333334,1078.0833333333333
Oceania,2023-05-10,585181.5416666666,1151.8333333333333
Oceania,2023-09-14,602547.0833333334,1238.9166666666667
Oceania,2024-02-24,615297.1666666666,1335.0833333333333
North America,2020-11-30,381614.0975609756,10416.09756097561
North America,2021-06-18,953986.8780487805,21929.09756097561
North America,2021-07-19,987729.0487804879,22408.414634146342
