location,total_cases,total_deaths,people_fully_vaccinated,vaccinated_percentage,population
Gibraltar,20550,113,41465,100.0,32677
Pitcairn,4,0,47,100.0,47
Tokelau,80,0,2203,100.0,1893
Qatar,514524,690,2852178,100.0,2695131
United Arab Emirates,1067030,2349,9792266,100.0,9441138
Brunei,347723,179,446714,99.49042543240341,449002
Macao,,,642266,92.38844615782963,695180
Hong Kong,,,6803327,90.84592681158675,7488863
Singapore,3006155,2024,5120969,90.8452902968979,5637022
Chile,5401126,64482,17700117,90.2895091017345,19603736
