2024-12-17 15:30 - WARNING - New file received :
2024-12-17 15:32 - INFO - New file received : example.txt
2024-12-17 15:32 - INFO - Creation of a new Merkle Tree
2024-12-17 15:32 - INFO - New node added : h(1)
2024-12-17 15:32 - INFO - New node added : h(2)
2024-12-17 15:32 - INFO - New node added : h(3)
2024-12-17 15:32 - INFO - New node added : h(4)
2024-12-17 15:32 - INFO - New node added : h(5)
2024-12-17 15:32 - INFO - New node added : h(6)
2024-12-17 15:32 - INFO - New node added : h(7)
2024-12-17 15:32 - INFO - New node added : h(8)
2024-12-17 15:32 - INFO - New node added : h(h(1)h(2))
2024-12-17 15:32 - INFO - New node added : h(h(3)h(4))
2024-12-17 15:32 - INFO - New node added : h(h(h(1)h(2))h(h(3)h(4)))
2024-12-17 15:32 - INFO - New node added : h(h(5)h(6))
2024-12-17 15:32 - INFO - New node added : h(h(7)h(8))
2024-12-17 15:32 - INFO - New node added : h(h(h(5)h(6))h(h(7)h(8)))
2024-12-17 15:32 - INFO - New node added : h(h(h(h(1)h(2))h(h(3)h(4)))h(h(h(5)h(6))h(h(7)h(8))))
2024-12-17 15:32 - INFO - Root Hash asked for Merkle Tree
2024-12-17 15:32 - INFO - Full Merkle Tree scheme asked
2024-12-17 15:36 - INFO - New file received : example.txt
2024-12-17 15:36 - INFO - Creation of a new Merkle Tree
2024-12-17 15:36 - INFO - New node added : 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
2024-12-17 15:36 - INFO - New node added : d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
2024-12-17 15:36 - INFO - New node added : 4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce
2024-12-17 15:36 - INFO - New node added : 4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a
2024-12-17 15:36 - INFO - New node added : ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d
2024-12-17 15:36 - INFO - New node added : e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683
2024-12-17 15:36 - INFO - New node added : 7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451
2024-12-17 15:36 - INFO - New node added : 2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3
2024-12-17 15:36 - INFO - New node added : 33b675636da5dcc86ec847b38c08fa49ff1cace9749931e0a5d4dfdbdedd808a
2024-12-17 15:36 - INFO - New node added : 13656c83d841ea7de6ebf3a89e0038fea9526bd7f686f06f7a692343a8a32dca
2024-12-17 15:36 - INFO - New node added : 85df8945419d2b5038f7ac83ec1ec6b8267c40fdb3b1e56ff62f6676eb855e70
2024-12-17 15:36 - INFO - New node added : 43587f59c00a8e528bc7636fabaffcf70cc25afc5b4d53df797faf0dc72f6dd0
2024-12-17 15:36 - INFO - New node added : ada17dcc2d615cc0d982a538b618f45441e798c38b1df9f3dd273e386eba1363
2024-12-17 15:36 - INFO - New node added : e0e2d0cec0ef7e8fc458e516dfde82890c183431a3f9efae9e4693fc23dfa36a
2024-12-17 15:36 - INFO - New node added : c27450cd3fd4df029145f3437ae9c381e0ae55e8400de06cb973005b36d7b222
2024-12-17 15:36 - INFO - Root Hash asked for Merkle Tree
2024-12-17 15:36 - INFO - Full Merkle Tree scheme asked
2024-12-17 15:36 - INFO - New file received : example.txt
2024-12-17 15:36 - INFO - Creation of a new Merkle Tree
2024-12-17 15:36 - INFO - New node added : d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
2024-12-17 15:36 - INFO - New node added : 5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
2024-12-17 15:36 - INFO - New node added : d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
2024-12-17 15:36 - INFO - New node added : 4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a
2024-12-17 15:36 - INFO - New node added : 3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112
2024-12-17 15:36 - INFO - New node added : 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
2024-12-17 15:36 - INFO - New node added : d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
2024-12-17 15:36 - INFO - New node added : 3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112
2024-12-17 15:36 - INFO - New node added : 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
2024-12-17 15:36 - INFO - New node added : 7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451
